mfg_products_ID,Mockup_ID,Created_at,Updated_at,Packaging_ID,Product_ID,Sock_pair_ID,Created_on,Mockup_version,Quantity,Product_info_ID
36777,133873,2023-01-03 19:24:21.039000+00:00,2023-01-03 19:24:21.319000+00:00,,,,2023-01-03,1,500,2
36817,132893,2023-01-03 23:55:37.983000+00:00,2023-01-03 23:55:38.583000+00:00,,,,2023-01-03,3,120,2
36815,132961,2023-01-03 23:55:37.977000+00:00,2023-01-03 23:55:38.517000+00:00,,,,2023-01-03,1,400,114
36818,,2023-01-03 23:55:37.986000+00:00,2023-01-03 23:55:37.986000+00:00,,,,2023-01-03,,120,
36816,,2023-01-03 23:55:37.981000+00:00,2023-01-03 23:55:37.981000+00:00,,,,2023-01-03,,400,
36809,134471,2023-01-03 23:00:36.612000+00:00,2023-01-04 19:50:15.284000+00:00,,,,2023-01-03,1,80,2
36812,,2023-01-03 23:13:47.875000+00:00,2023-01-03 23:23:13.944000+00:00,58212,,,2023-01-03,,2560,35
36811,107583,2023-01-03 23:13:47.871000+00:00,2023-01-03 23:23:13.873000+00:00,,,,2023-01-03,2,2560,2
36784,,2023-01-03 20:07:39.112000+00:00,2023-01-03 20:07:39.792000+00:00,68963,,,2023-01-03,,60,35
36778,,2023-01-03 19:24:21.042000+00:00,2023-01-03 19:24:21.384000+00:00,70875,,,2023-01-03,,500,35
36808,,2023-01-03 22:50:12.980000+00:00,2023-01-03 22:50:13.308000+00:00,39446,,,2023-01-03,,400,35
36807,69873,2023-01-03 22:50:12.975000+00:00,2023-01-03 22:50:13.242000+00:00,,,,2023-01-03,3,400,2
36769,130725,2023-01-03 18:12:05.536000+00:00,2023-01-03 18:18:41.934000+00:00,,,,2023-01-03,1,400,2
36806,,2023-01-03 22:49:47.840000+00:00,2023-01-03 22:49:48.367000+00:00,39521,,,2023-01-03,,200,35
36805,70060,2023-01-03 22:49:47.836000+00:00,2023-01-03 22:49:48.319000+00:00,,,,2023-01-03,1,200,2
36804,,2023-01-03 22:49:47.832000+00:00,2023-01-03 22:49:48.261000+00:00,39521,,,2023-01-03,,200,35
36803,70058,2023-01-03 22:49:47.827000+00:00,2023-01-03 22:49:48.194000+00:00,,,,2023-01-03,1,200,2
36820,,2023-01-03 23:57:04.831000+00:00,2023-01-03 23:57:05.245000+00:00,70734,,,2023-01-03,,150,35
36819,134041,2023-01-03 23:57:04.827000+00:00,2023-01-03 23:57:05.179000+00:00,,,,2023-01-03,3,150,2
36802,,2023-01-03 22:39:08.995000+00:00,2023-01-03 22:39:09.614000+00:00,69619,,,2023-01-03,,1,35
36801,130785,2023-01-03 22:39:08.988000+00:00,2023-01-03 22:39:09.376000+00:00,,,,2023-01-03,1,1,2
36800,,2023-01-03 22:35:02.582000+00:00,2023-01-03 22:35:02.946000+00:00,6425,,,2023-01-03,,105,35
36799,134037,2023-01-03 22:35:02.578000+00:00,2023-01-03 22:35:02.867000+00:00,,,,2023-01-03,1,105,2
36798,,2023-01-03 22:17:53.084000+00:00,2023-01-03 22:17:53.568000+00:00,67552,,,2023-01-03,,144,35
36797,127205,2023-01-03 22:17:53.079000+00:00,2023-01-03 22:17:53.469000+00:00,,,,2023-01-03,4,144,9
36794,,2023-01-03 20:37:18.476000+00:00,2023-01-03 20:37:18.908000+00:00,45862,,,2023-01-03,,100,35
36793,82074,2023-01-03 20:37:18.472000+00:00,2023-01-03 20:37:18.837000+00:00,,,,2023-01-03,1,100,2
36795,133258,2023-01-03 20:53:48.839000+00:00,2023-01-03 20:53:49.102000+00:00,,,,2023-01-03,1,500,2
36796,,2023-01-03 20:53:48.843000+00:00,2023-01-03 20:53:48.843000+00:00,,,,2023-01-03,,500,
36792,,2023-01-03 20:34:00.608000+00:00,2023-01-03 20:34:00.608000+00:00,,,,2023-01-03,,60,
36790,,2023-01-03 20:34:00.604000+00:00,2023-01-03 20:34:00.604000+00:00,,,,2023-01-03,,60,
36785,29990,2023-01-03 20:21:48.408000+00:00,2023-01-03 20:21:48.677000+00:00,,,,2023-01-03,1,60,2
36786,,2023-01-03 20:21:48.412000+00:00,2023-01-03 20:21:48.412000+00:00,,,,2023-01-03,,60,
36780,,2023-01-03 19:59:51.523000+00:00,2023-01-03 19:59:51.857000+00:00,70671,,,2023-01-03,,60,35
36770,,2023-01-03 18:12:05.540000+00:00,2023-01-03 18:18:42.024000+00:00,70799,,,2023-01-03,,400,35
36779,133923,2023-01-03 19:59:51.518000+00:00,2023-01-03 19:59:51.777000+00:00,,,,2023-01-03,1,60,2
36771,130725,2023-01-03 18:12:05.565000+00:00,2023-01-03 18:18:42.102000+00:00,,,,2023-01-03,1,1600,2
36947,,2023-01-04 23:36:54.238000+00:00,2023-01-04 23:36:54.369000+00:00,69276,,,2023-01-04,,500,44
36941,,2023-01-04 22:14:44.449000+00:00,2023-01-04 22:14:44.449000+00:00,,,,2023-01-04,,500,
36940,100873,2023-01-04 22:14:44.445000+00:00,2023-01-04 22:14:45.048000+00:00,,,,2023-01-04,1,500,2
36943,90909,2023-01-04 23:08:50.472000+00:00,2023-01-04 23:08:50.757000+00:00,,,,2023-01-04,1,100,2
36944,,2023-01-04 23:08:50.476000+00:00,2023-01-04 23:08:50.824000+00:00,50550,,,2023-01-04,,100,35
36946,,2023-01-04 23:23:09.940000+00:00,2023-01-04 23:23:09.940000+00:00,,,,2023-01-04,,300,
36945,,2023-01-04 23:23:09.935000+00:00,2023-01-04 23:29:14.913000+00:00,,28982,,2023-01-04,,300,118
36843,134444,2023-01-04 15:08:26.565000+00:00,2023-01-04 15:08:26.888000+00:00,,,,2023-01-04,2,176,2
36861,63832,2023-01-04 17:04:56.593000+00:00,2023-01-04 17:30:57.824000+00:00,,,,2023-01-04,2,60,2
36848,,2023-01-04 15:15:19.415000+00:00,2023-01-04 17:30:30.014000+00:00,70848,,,2023-01-04,,120,35
36922,118382,2023-01-04 20:35:40.332000+00:00,2023-01-09 17:24:14.786000+00:00,,,2041,2023-01-04,1,500,2
36847,134333,2023-01-04 15:15:19.410000+00:00,2023-01-04 17:30:29.937000+00:00,,,,2023-01-04,1,120,114
36921,,2023-01-04 20:35:40.327000+00:00,2023-01-09 17:24:15.554000+00:00,62282,,,2023-01-04,,1000,35
36886,,2023-01-04 18:18:04.167000+00:00,2023-01-04 18:18:04.481000+00:00,11558,,,2023-01-04,,60,35
36842,,2023-01-04 14:40:24.686000+00:00,2023-01-04 14:40:25.533000+00:00,28538,,,2023-01-04,,150,35
36841,52551,2023-01-04 14:40:24.682000+00:00,2023-01-04 14:40:25.467000+00:00,,,,2023-01-04,1,150,2
36840,,2023-01-04 14:40:24.675000+00:00,2023-01-04 14:40:25.387000+00:00,69157,,,2023-01-04,,155,35
36839,133738,2023-01-04 14:40:24.671000+00:00,2023-01-04 14:40:25.320000+00:00,,,,2023-01-04,1,155,2
36838,,2023-01-04 14:40:24.667000+00:00,2023-01-04 14:40:25.243000+00:00,69157,,,2023-01-04,,150,35
36837,133739,2023-01-04 14:40:24.663000+00:00,2023-01-04 14:40:25.161000+00:00,,,,2023-01-04,3,150,2
36829,133055,2023-01-04 07:57:16.851000+00:00,2023-01-04 13:32:03.161000+00:00,,,,2023-01-04,1,200,2
36836,,2023-01-04 13:26:44.768000+00:00,2023-01-04 13:31:54.760000+00:00,70620,,,2023-01-04,,2,35
36835,133157,2023-01-04 13:26:44.760000+00:00,2023-01-04 13:31:54.706000+00:00,,,,2023-01-04,4,2,2
36834,,2023-01-04 13:26:44.757000+00:00,2023-01-04 13:31:54.627000+00:00,70620,,,2023-01-04,,2,35
36833,133157,2023-01-04 13:26:44.753000+00:00,2023-01-04 13:31:54.569000+00:00,,,,2023-01-04,5,2,2
36832,,2023-01-04 13:26:44.748000+00:00,2023-01-04 13:31:54.472000+00:00,70620,,,2023-01-04,,2,35
36831,133833,2023-01-04 13:26:44.744000+00:00,2023-01-04 13:31:54.387000+00:00,,,,2023-01-04,1,2,2
36826,,2023-01-04 01:41:37.542000+00:00,2023-01-04 01:41:38.202000+00:00,20056,,,2023-01-04,,60,35
36825,33992,2023-01-04 01:41:37.533000+00:00,2023-01-04 01:41:38.153000+00:00,,,,2023-01-04,1,60,2
36824,,2023-01-04 01:41:37.530000+00:00,2023-01-04 01:41:38.064000+00:00,20056,,,2023-01-04,,120,35
36823,84272,2023-01-04 01:41:37.526000+00:00,2023-01-04 01:41:38.012000+00:00,,,,2023-01-04,2,120,4
36822,,2023-01-04 01:41:37.521000+00:00,2023-01-04 01:41:37.942000+00:00,20056,,,2023-01-04,,60,35
36821,33995,2023-01-04 01:41:37.516000+00:00,2023-01-04 01:41:37.871000+00:00,,,,2023-01-04,1,60,2
36830,,2023-01-04 07:57:16.856000+00:00,2023-01-04 13:32:03.232000+00:00,70540,,,2023-01-04,,200,35
36827,121457,2023-01-04 01:42:35.137000+00:00,2023-01-04 01:42:35.488000+00:00,,,,2023-01-04,2,80,2
36828,,2023-01-04 01:42:35.142000+00:00,2023-01-04 19:49:57.071000+00:00,64696,,,2023-01-04,,80,35
36881,119032,2023-01-04 18:16:28.543000+00:00,2023-01-04 18:16:29.085000+00:00,,,,2023-01-04,1,120,9
36889,133671,2023-01-04 18:43:51.478000+00:00,2023-01-04 18:43:51.956000+00:00,,,,2023-01-04,2,120,114
36885,37418,2023-01-04 18:18:04.163000+00:00,2023-01-04 18:18:04.404000+00:00,,,,2023-01-04,1,60,2
36891,134567,2023-01-04 18:48:43.128000+00:00,2023-01-04 18:50:33.013000+00:00,,,,2023-01-04,1,125,114
36882,,2023-01-04 18:16:28.547000+00:00,2023-01-04 18:16:28.547000+00:00,,,,2023-01-04,,120,
36868,,2023-01-04 17:37:50.013000+00:00,2023-01-04 17:37:50.013000+00:00,,,,2023-01-04,,365,
36871,116963,2023-01-04 17:55:00.657000+00:00,2023-01-05 22:20:51.024000+00:00,,,,2023-01-04,1,60,2
36867,92069,2023-01-04 17:37:50.009000+00:00,2023-01-09 20:13:45.080000+00:00,,,,2023-01-04,1,365,2
36865,133672,2023-01-04 17:32:52.607000+00:00,2023-01-04 17:32:53.426000+00:00,,,,2023-01-04,2,125,2
36863,133674,2023-01-04 17:32:52.596000+00:00,2023-01-04 17:32:53.353000+00:00,,,,2023-01-04,2,125,2
36866,,2023-01-04 17:32:52.614000+00:00,2023-01-04 17:32:52.623000+00:00,,,,2023-01-04,,125,
36864,,2023-01-04 17:32:52.603000+00:00,2023-01-04 17:32:52.621000+00:00,,,,2023-01-04,,125,
36892,,2023-01-04 18:48:43.133000+00:00,2023-01-09 15:51:30.125000+00:00,31586,,,2023-01-04,,125,35
36880,,2023-01-04 18:10:02.211000+00:00,2023-01-04 18:10:02.565000+00:00,70800,,,2023-01-04,,800,35
36874,,2023-01-04 17:55:00.666000+00:00,2023-01-04 17:55:00.666000+00:00,,,,2023-01-04,,60,
36858,,2023-01-04 16:30:27.357000+00:00,2023-01-04 16:30:27.935000+00:00,17561,,,2023-01-04,,450,35
36857,30456,2023-01-04 16:30:27.353000+00:00,2023-01-04 16:30:27.791000+00:00,,,,2023-01-04,2,450,2
36856,,2023-01-04 16:30:27.336000+00:00,2023-01-04 16:30:27.722000+00:00,17561,,,2023-01-04,,50,35
36855,30456,2023-01-04 16:30:27.332000+00:00,2023-01-04 16:30:27.656000+00:00,,,,2023-01-04,2,50,2
36872,,2023-01-04 17:55:00.660000+00:00,2023-01-04 17:55:00.660000+00:00,,,,2023-01-04,,60,
36870,,2023-01-04 17:44:39.093000+00:00,2023-01-04 17:44:39.449000+00:00,64492,,,2023-01-04,,240,35
36869,127520,2023-01-04 17:44:39.088000+00:00,2023-01-04 17:44:39.378000+00:00,,,,2023-01-04,4,240,2
36879,134193,2023-01-04 18:10:02.207000+00:00,2023-01-04 18:10:02.491000+00:00,,,,2023-01-04,1,800,2
36896,,2023-01-04 19:18:43.425000+00:00,2023-01-04 19:18:43.425000+00:00,,,,2023-01-04,,200,
36854,,2023-01-04 16:22:01.688000+00:00,2023-01-04 16:22:02.287000+00:00,58170,,,2023-01-04,,300,35
36853,108170,2023-01-04 16:22:01.684000+00:00,2023-01-04 16:22:02.215000+00:00,,,,2023-01-04,2,300,2
36852,,2023-01-04 16:21:04.748000+00:00,2023-01-04 16:21:04.759000+00:00,70848,,,2023-01-04,,120,35
36877,134149,2023-01-04 18:07:20.427000+00:00,2023-01-04 18:07:20.705000+00:00,,,,2023-01-04,1,350,2
36878,,2023-01-04 18:07:20.432000+00:00,2023-01-04 18:07:20.781000+00:00,70786,,,2023-01-04,,350,35
36890,,2023-01-04 18:43:51.482000+00:00,2023-01-04 18:43:52.023000+00:00,70870,,,2023-01-04,,120,35
36883,133357,2023-01-04 18:17:37.997000+00:00,2023-01-04 18:17:38.311000+00:00,,,,2023-01-04,4,310,2
36884,,2023-01-04 18:17:38.002000+00:00,2023-01-04 18:17:38.395000+00:00,70445,,,2023-01-04,,310,35
36875,132882,2023-01-04 18:05:21.538000+00:00,2023-01-04 18:24:38.948000+00:00,,,,2023-01-04,1,2,2
36876,,2023-01-04 18:05:21.543000+00:00,2023-01-04 18:24:39.009000+00:00,70243,,,2023-01-04,,2,35
36887,,2023-01-04 18:19:05.454000+00:00,2023-01-12 23:47:43.794000+00:00,,28978,,2023-01-04,,60,73
36898,,2023-01-04 19:18:43.430000+00:00,2023-01-04 19:18:43.430000+00:00,,,,2023-01-04,,200,
36893,133530,2023-01-04 19:00:08.403000+00:00,2023-01-04 19:00:08.770000+00:00,,,,2023-01-04,1,73,2
36894,,2023-01-04 19:00:08.408000+00:00,2023-01-04 19:00:08.849000+00:00,70525,,,2023-01-04,,73,35
36895,134118,2023-01-04 19:18:43.420000+00:00,2023-01-04 19:18:43.875000+00:00,,,,2023-01-04,1,200,2
36897,134367,2023-01-04 19:18:43.427000+00:00,2023-01-04 19:18:43.946000+00:00,,,,2023-01-04,2,200,2
36859,130181,2023-01-04 16:50:28.305000+00:00,2023-01-04 19:56:47.529000+00:00,,,,2023-01-04,1,800,25
36860,,2023-01-04 16:50:28.309000+00:00,2023-01-04 19:56:47.632000+00:00,58077,,,2023-01-04,,800,44
36873,116952,2023-01-04 17:55:00.662000+00:00,2023-01-05 22:20:51.350000+00:00,,,,2023-01-04,1,60,2
36899,132510,2023-01-04 19:43:20.548000+00:00,2023-01-04 19:43:20.823000+00:00,,,,2023-01-04,1,120,2
36900,,2023-01-04 19:43:20.552000+00:00,2023-01-04 19:43:20.890000+00:00,70078,,,2023-01-04,,120,35
36942,,2023-01-04 23:07:10.999000+00:00,2023-01-04 23:07:11.060000+00:00,70933,,,2023-01-04,,2,35
36901,134569,2023-01-04 19:44:33.342000+00:00,2023-01-04 19:44:33.674000+00:00,,,,2023-01-04,1,200,114
36902,,2023-01-04 19:44:33.347000+00:00,2023-01-04 19:44:33.795000+00:00,70913,,,2023-01-04,,200,35
36904,,2023-01-04 19:58:37.745000+00:00,2023-01-04 19:58:37.745000+00:00,,,,2023-01-04,,120,
36906,,2023-01-04 19:58:37.750000+00:00,2023-01-04 19:58:37.750000+00:00,,,,2023-01-04,,120,
36908,,2023-01-04 19:58:37.756000+00:00,2023-01-04 19:58:37.756000+00:00,,,,2023-01-04,,120,
36910,,2023-01-04 19:58:37.761000+00:00,2023-01-04 19:58:37.761000+00:00,,,,2023-01-04,,120,
36912,,2023-01-04 19:58:37.769000+00:00,2023-01-04 19:58:37.769000+00:00,,,,2023-01-04,,120,
36914,,2023-01-04 19:58:37.775000+00:00,2023-01-04 19:58:37.775000+00:00,,,,2023-01-04,,120,
36923,118391,2023-01-04 20:35:40.336000+00:00,2023-01-09 17:24:15.163000+00:00,,,2041,2023-01-04,1,500,2
36925,,2023-01-04 20:44:13.161000+00:00,2023-01-04 20:44:13.161000+00:00,,,,2023-01-04,,60,
36936,134579,2023-01-04 21:58:21.075000+00:00,2023-01-04 21:59:42.731000+00:00,,,,2023-01-04,1,203,114
36903,77046,2023-01-04 19:58:37.740000+00:00,2023-01-04 19:58:38.050000+00:00,,,,2023-01-04,2,120,2
36905,77036,2023-01-04 19:58:37.747000+00:00,2023-01-04 19:58:38.124000+00:00,,,,2023-01-04,1,120,2
36907,77035,2023-01-04 19:58:37.752000+00:00,2023-01-04 19:58:38.195000+00:00,,,,2023-01-04,1,120,2
36909,77037,2023-01-04 19:58:37.757000+00:00,2023-01-04 19:58:38.265000+00:00,,,,2023-01-04,2,120,2
36911,134497,2023-01-04 19:58:37.765000+00:00,2023-01-04 19:58:38.332000+00:00,,,,2023-01-04,1,120,2
36851,134333,2023-01-04 16:21:04.740000+00:00,2023-01-04 16:21:04.757000+00:00,,,,2023-01-04,1,120,114
36849,128341,2023-01-04 15:29:34.550000+00:00,2023-01-04 15:29:34.777000+00:00,,,,2023-01-04,3,60,2
36850,,2023-01-04 15:29:34.554000+00:00,2023-01-04 15:29:34.554000+00:00,,,,2023-01-04,,60,
36862,,2023-01-04 17:04:56.596000+00:00,2023-01-04 17:30:57.902000+00:00,35728,,,2023-01-04,,60,35
36913,134499,2023-01-04 19:58:37.771000+00:00,2023-01-04 19:58:38.404000+00:00,,,,2023-01-04,1,120,2
36924,112333,2023-01-04 20:44:13.157000+00:00,2023-01-04 20:44:13.401000+00:00,,,,2023-01-04,3,60,114
36927,,2023-01-04 20:46:09.955000+00:00,2023-01-04 20:46:09.955000+00:00,,,,2023-01-04,,125,
36915,44586,2023-01-04 20:15:56.515000+00:00,2023-01-04 20:19:02.575000+00:00,,,,2023-01-04,1,1775,2
36916,,2023-01-04 20:15:56.519000+00:00,2023-01-04 20:19:02.657000+00:00,23580,,,2023-01-04,,1775,35
36844,,2023-01-04 15:08:26.570000+00:00,2023-01-04 15:08:26.967000+00:00,70914,,,2023-01-04,,176,35
36937,,2023-01-04 21:58:21.080000+00:00,2023-01-04 21:59:42.792000+00:00,70989,,,2023-01-04,,203,35
36926,134408,2023-01-04 20:46:09.951000+00:00,2023-01-04 20:46:10.229000+00:00,,,,2023-01-04,1,125,114
36917,101435,2023-01-04 20:23:44.885000+00:00,2023-01-04 20:23:45.141000+00:00,,,,2023-01-04,1,75,2
36918,,2023-01-04 20:23:44.889000+00:00,2023-01-04 20:23:45.215000+00:00,54928,,,2023-01-04,,75,35
36938,134579,2023-01-04 21:58:21.098000+00:00,2023-01-04 21:59:42.847000+00:00,,,,2023-01-04,1,5,114
36939,,2023-01-04 21:58:21.102000+00:00,2023-01-04 21:59:42.909000+00:00,70989,,,2023-01-04,,5,35
36919,134584,2023-01-04 20:26:30.496000+00:00,2023-01-04 20:26:30.758000+00:00,,,,2023-01-04,1,60,2
36920,,2023-01-04 20:26:30.500000+00:00,2023-01-04 20:26:30.831000+00:00,70964,,,2023-01-04,,60,35
36932,134543,2023-01-04 21:56:23.116000+00:00,2023-01-04 21:56:23.435000+00:00,,,,2023-01-04,1,120,9
36933,,2023-01-04 21:56:23.120000+00:00,2023-01-04 21:56:23.500000+00:00,70944,,,2023-01-04,,120,35
36934,134545,2023-01-04 21:56:23.123000+00:00,2023-01-04 21:56:23.567000+00:00,,,,2023-01-04,1,120,9
36930,119505,2023-01-04 21:34:30.396000+00:00,2023-01-04 21:34:30.664000+00:00,,,,2023-01-04,1,120,2
36931,,2023-01-04 21:34:30.401000+00:00,2023-01-04 21:34:30.733000+00:00,64032,,,2023-01-04,,120,35
36935,,2023-01-04 21:56:23.127000+00:00,2023-01-04 21:56:23.631000+00:00,70942,,,2023-01-04,,120,35
36928,134504,2023-01-04 21:01:09.276000+00:00,2023-01-04 21:56:01.915000+00:00,,,,2023-01-04,3,2,114
36984,134322,2023-01-05 18:36:59.776000+00:00,2023-01-05 18:37:00.068000+00:00,,,,2023-01-05,2,120,3
37026,,2023-01-05 22:26:59.345000+00:00,2023-01-12 15:29:09.812000+00:00,,,,2023-01-05,,120,
37025,132527,2023-01-05 22:26:59.340000+00:00,2023-01-12 15:29:09.611000+00:00,,,,2023-01-05,1,120,114
37014,,2023-01-05 21:17:22.283000+00:00,2023-01-06 21:35:37.680000+00:00,60838,,,2023-01-05,,150,35
37030,,2023-01-05 22:55:16.391000+00:00,2023-01-05 22:55:16.730000+00:00,70230,,,2023-01-05,,150,35
37029,132872,2023-01-05 22:55:16.388000+00:00,2023-01-05 22:55:16.643000+00:00,,,,2023-01-05,1,150,2
37024,,2023-01-05 22:16:05.309000+00:00,2023-01-05 22:16:05.702000+00:00,68664,,,2023-01-05,,120,35
37023,129360,2023-01-05 22:16:05.304000+00:00,2023-01-05 22:16:05.628000+00:00,,,,2023-01-05,1,120,2
37013,13785,2023-01-05 21:17:22.280000+00:00,2023-01-06 21:35:37.223000+00:00,,,,2023-01-05,1,150,2
37016,,2023-01-05 21:53:46.064000+00:00,2023-01-05 22:12:55.905000+00:00,70127,,,2023-01-05,,2,35
37015,132622,2023-01-05 21:53:46.059000+00:00,2023-01-05 22:12:55.839000+00:00,,,,2023-01-05,2,2,2
37022,134885,2023-01-05 21:53:49.515000+00:00,2023-01-05 21:53:50.188000+00:00,,,2420,2023-01-05,1,60,114
37021,134884,2023-01-05 21:53:49.511000+00:00,2023-01-05 21:53:50.115000+00:00,,,2420,2023-01-05,1,60,114
37020,,2023-01-05 21:53:49.508000+00:00,2023-01-05 21:53:50.031000+00:00,69091,,,2023-01-05,,120,35
