ID,Mockup ID,Version number,Completed at,Created at,Updated at,Packaging ID,Product ID,Sock pair ID,Base version,Read at
21740,133993.0,2.0,2023-01-03T15:54:01.975Z,2023-01-03T15:36:51.168Z,2023-01-03T15:54:01.975Z,,,,2.0,
21739,134018.0,1.0,2023-01-03T15:51:54.328Z,2023-01-03T15:33:29.728Z,2023-01-03T15:51:54.328Z,,,,1.0,
21795,131971.0,1.0,2023-01-03T23:07:53.810Z,2023-01-03T22:52:01.558Z,2023-01-03T23:07:53.810Z,,,,1.0,
21759,58625.0,1.0,2023-01-05T00:20:03.311Z,2023-01-03T18:14:16.026Z,2023-01-05T00:20:03.311Z,,,,1.0,
21805,134099.0,1.0,,2023-01-03T23:47:52.239Z,2023-01-04T18:43:54.154Z,,,,1.0,
21773,,,,2023-01-03T19:48:48.056Z,2023-01-03T20:26:02.330Z,70711.0,,,,
21798,134415.0,2.0,,2023-01-03T23:14:22.312Z,2023-01-04T17:56:00.609Z,,,,2.0,
21775,119530.0,1.0,2023-01-03T20:39:37.630Z,2023-01-03T19:54:06.002Z,2024-02-13T16:53:17.815Z,,,,1.0,2024-02-13T16:53:17.815Z
21742,134215.0,1.0,2023-01-03T16:44:57.343Z,2023-01-03T16:01:45.226Z,2023-01-03T16:44:57.344Z,,,,1.0,
21741,122198.0,1.0,2023-01-04T19:45:41.121Z,2023-01-03T15:58:37.030Z,2023-01-04T19:45:41.122Z,,,,1.0,
21743,133334.0,3.0,2023-01-03T19:38:20.477Z,2023-01-03T16:05:41.923Z,2023-01-03T19:38:20.477Z,,,,3.0,
21801,134367.0,1.0,2023-01-03T23:36:37.644Z,2023-01-03T23:18:34.062Z,2023-01-03T23:36:37.644Z,,,,1.0,
21800,134406.0,2.0,2023-01-04T17:45:53.737Z,2023-01-03T23:15:25.641Z,2023-01-04T17:45:53.737Z,,,,2.0,
21744,133760.0,1.0,2023-01-04T20:00:33.766Z,2023-01-03T16:12:51.727Z,2023-01-04T20:00:33.767Z,,,,1.0,
21745,133944.0,1.0,2023-01-03T17:01:04.658Z,2023-01-03T16:20:14.256Z,2023-01-03T17:01:04.658Z,,,,1.0,
21802,134338.0,2.0,,2023-01-03T23:18:59.466Z,2023-01-04T23:01:01.131Z,,,,2.0,
21778,,,2023-01-03T20:47:05.331Z,2023-01-03T20:26:14.113Z,2023-01-03T20:47:05.331Z,70872.0,,,,
21746,133739.0,2.0,2023-01-03T17:04:44.051Z,2023-01-03T16:42:59.786Z,2023-01-03T17:04:44.051Z,,,,2.0,
21779,77037.0,1.0,2023-01-04T00:01:56.309Z,2023-01-03T20:27:55.288Z,2023-01-04T00:01:56.310Z,,,,1.0,
21803,134359.0,1.0,2023-01-04T18:41:50.755Z,2023-01-03T23:30:17.654Z,2023-01-04T18:41:50.755Z,,,,1.0,
21792,102980.0,1.0,2023-01-04T20:30:05.133Z,2023-01-03T22:27:15.676Z,2023-01-04T20:30:05.133Z,,,,1.0,
21807,132660.0,2.0,2023-01-03T23:59:46.600Z,2023-01-03T23:50:27.350Z,2023-01-03T23:59:46.600Z,,,,2.0,
21780,77046.0,1.0,2023-01-04T00:03:08.013Z,2023-01-03T20:29:06.887Z,2023-01-04T00:03:08.013Z,,,,1.0,
21747,129973.0,1.0,2023-01-03T23:40:56.056Z,2023-01-03T16:44:57.871Z,2023-01-03T23:40:56.057Z,,,,1.0,
21799,134407.0,2.0,2023-01-04T17:52:14.259Z,2023-01-03T23:14:38.467Z,2023-01-04T17:52:14.260Z,,,,2.0,
21804,134099.0,1.0,2023-01-04T18:41:41.001Z,2023-01-03T23:46:17.560Z,2023-01-04T18:41:41.001Z,,,,1.0,
21755,134312.0,1.0,2023-01-03T18:16:32.732Z,2023-01-03T17:45:44.603Z,2023-01-03T18:16:32.733Z,,,,1.0,
21757,134322.0,1.0,2023-01-03T18:56:56.589Z,2023-01-03T17:50:31.641Z,2023-01-03T18:56:56.590Z,,,,1.0,
21880,134588.0,1.0,2023-01-05T16:18:43.027Z,2023-01-04T23:53:35.993Z,2024-01-09T17:22:26.029Z,,,,1.0,2024-01-09T17:22:26.029Z
21869,134455.0,2.0,2023-01-04T22:11:10.333Z,2023-01-04T22:05:45.710Z,2023-01-04T22:11:10.334Z,,,,2.0,
21848,134526.0,2.0,2023-01-04T19:35:13.274Z,2023-01-04T19:13:49.063Z,2023-01-04T19:35:13.275Z,,,,2.0,
21839,133978.0,2.0,2023-01-04T23:10:06.127Z,2023-01-04T17:19:48.719Z,2023-01-04T23:11:45.740Z,,,,2.0,
21833,134358.0,1.0,2023-01-04T17:28:30.244Z,2023-01-04T15:55:27.685Z,2023-01-04T17:28:30.244Z,,,,1.0,
21841,,,2023-01-04T17:44:17.551Z,2023-01-04T17:39:19.598Z,2023-01-04T17:44:17.552Z,,28978.0,,,
21844,74807.0,1.0,2023-01-04T22:53:56.568Z,2023-01-04T18:38:25.961Z,2023-01-04T22:53:56.568Z,,,,1.0,
21831,134350.0,1.0,2023-01-04T17:40:26.730Z,2023-01-04T15:54:14.364Z,2023-01-04T17:40:26.730Z,,,,1.0,
21853,134281.0,2.0,,2023-01-04T19:46:06.518Z,2023-01-05T15:13:25.712Z,,,,2.0,
21865,133582.0,1.0,,2023-01-04T21:22:27.745Z,2023-01-05T17:30:03.396Z,,,,1.0,
21818,77046.0,2.0,2023-01-04T16:31:05.200Z,2023-01-04T00:40:35.161Z,2023-01-04T16:31:05.201Z,,,,2.0,
21863,133944.0,6.0,2023-01-04T21:37:31.555Z,2023-01-04T20:58:45.345Z,2023-01-04T21:37:31.555Z,,,,6.0,
21859,134529.0,1.0,,2023-01-04T20:16:04.787Z,2023-01-04T23:31:53.199Z,,,,1.0,
21828,134428.0,1.0,,2023-01-04T15:25:12.144Z,2023-01-04T17:41:54.869Z,,,,1.0,
21871,122345.0,5.0,,2023-01-04T22:34:46.524Z,2023-01-04T23:42:42.905Z,,,,5.0,
21832,134351.0,2.0,2023-01-04T17:25:19.740Z,2023-01-04T15:55:01.115Z,2023-01-04T17:25:19.740Z,,,,2.0,
21862,134538.0,1.0,2023-01-04T21:04:26.635Z,2023-01-04T20:52:37.340Z,2023-01-04T21:04:26.636Z,,,,1.0,
21868,88781.0,1.0,2023-01-04T22:29:42.395Z,2023-01-04T22:00:43.271Z,2023-01-04T22:29:42.395Z,,,,1.0,
21856,134504.0,3.0,2023-01-04T21:46:39.294Z,2023-01-04T20:06:48.249Z,2023-01-04T21:46:39.294Z,,,,3.0,
21852,134455.0,2.0,2023-01-04T22:09:49.820Z,2023-01-04T19:33:59.961Z,2023-01-04T22:09:49.820Z,,,,2.0,
21817,132114.0,2.0,2023-01-04T18:02:41.501Z,2023-01-04T00:20:01.372Z,2023-01-04T18:02:41.501Z,,,,2.0,
21830,134455.0,1.0,2023-01-04T17:52:44.571Z,2023-01-04T15:47:02.545Z,2023-01-04T17:52:44.571Z,,,,1.0,
21829,134477.0,1.0,,2023-01-04T15:32:42.963Z,2023-01-04T18:19:15.476Z,,,,1.0,
21834,134411.0,1.0,2023-01-04T16:27:32.628Z,2023-01-04T16:13:44.609Z,2023-01-04T16:27:44.016Z,,,,1.0,
21819,77037.0,2.0,2023-01-04T16:30:40.093Z,2023-01-04T00:41:02.921Z,2023-01-04T16:30:40.093Z,,,,2.0,
21815,134494.0,2.0,2023-01-04T16:43:53.719Z,2023-01-04T00:12:06.898Z,2023-01-04T16:43:53.719Z,,,,2.0,
21876,,,2023-01-05T15:25:01.801Z,2023-01-04T23:18:17.887Z,2024-01-22T17:18:12.541Z,,28948.0,,,2024-01-22T17:18:12.540Z
21814,134428.0,1.0,,2023-01-04T00:11:19.427Z,2023-01-04T17:41:53.036Z,,,,1.0,
21851,,,2023-01-04T21:36:55.401Z,2023-01-04T19:27:04.368Z,2023-01-04T21:36:55.401Z,55617.0,,,,
21842,134539.0,2.0,2023-01-04T21:07:09.256Z,2023-01-04T18:05:01.080Z,2023-06-27T14:29:32.989Z,,,,2.0,2023-06-27T14:29:32.988Z
21838,132192.0,6.0,2023-01-04T18:25:56.214Z,2023-01-04T17:18:47.293Z,2023-01-04T18:25:56.214Z,,,,6.0,
21811,134494.0,1.0,2023-01-04T00:10:33.137Z,2023-01-04T00:03:14.426Z,2023-01-04T00:10:33.138Z,,,,1.0,
21816,134494.0,2.0,2023-01-04T16:44:00.417Z,2023-01-04T00:12:48.020Z,2023-01-04T16:44:11.598Z,,,,2.0,
21820,134504.0,1.0,2023-01-04T18:18:43.890Z,2023-01-04T01:59:58.963Z,2023-01-04T18:18:43.891Z,,,,1.0,
21835,109541.0,1.0,,2023-01-04T16:27:36.048Z,2023-01-04T17:41:27.149Z,,,,1.0,
21812,133993.0,3.0,2023-01-04T21:48:07.963Z,2023-01-04T00:04:40.413Z,2023-01-04T21:48:07.963Z,,,,3.0,
21861,132192.0,6.0,2023-01-04T21:51:58.434Z,2023-01-04T20:41:21.101Z,2023-01-04T21:51:58.434Z,,,,6.0,
21870,134688.0,1.0,2023-01-04T22:44:52.684Z,2023-01-04T22:20:33.091Z,2023-01-04T22:44:52.684Z,,,,1.0,
21821,134504.0,1.0,2023-01-04T18:18:42.416Z,2023-01-04T02:00:25.108Z,2023-01-04T18:18:42.416Z,,,,1.0,
21836,132660.0,2.0,2023-01-04T17:41:57.480Z,2023-01-04T16:30:57.820Z,2023-01-04T17:41:57.480Z,,,,2.0,
21845,134504.0,2.0,2023-01-04T19:53:38.193Z,2023-01-04T18:46:08.721Z,2023-01-04T19:53:38.194Z,,,,2.0,
21864,,,2023-01-04T21:25:20.798Z,2023-01-04T21:14:11.022Z,2023-01-04T21:25:20.798Z,70955.0,,,,
21866,,,,2023-01-04T21:29:11.324Z,2023-01-04T22:01:31.718Z,,,2411.0,,
21879,134574.0,1.0,,2023-01-04T23:48:49.001Z,2023-01-05T21:30:12.413Z,,,,1.0,
21867,134591.0,1.0,2023-01-04T21:58:55.290Z,2023-01-04T21:45:47.400Z,2023-01-04T21:58:55.291Z,,,,1.0,
21858,134504.0,3.0,2023-01-04T21:48:42.007Z,2023-01-04T20:09:02.556Z,2023-01-04T21:48:42.007Z,,,,3.0,
21813,134474.0,1.0,2023-01-04T20:03:07.753Z,2023-01-04T00:11:13.974Z,2023-01-04T20:03:07.753Z,,,,1.0,
21849,134537.0,1.0,,2023-01-04T19:15:47.943Z,2023-01-04T19:57:52.829Z,,,,1.0,
21875,,,2023-01-05T22:52:35.326Z,2023-01-04T23:06:58.773Z,2024-01-18T20:28:28.185Z,,,2389.0,,2024-01-18T20:28:28.185Z
21877,134530.0,1.0,,2023-01-04T23:24:26.394Z,2023-01-05T17:45:59.149Z,,,,1.0,
21825,134367.0,1.0,2023-01-04T16:58:08.125Z,2023-01-04T14:24:56.623Z,2023-01-04T16:58:08.125Z,,,,1.0,
21874,134174.0,1.0,2023-01-05T22:38:17.763Z,2023-01-04T23:04:30.808Z,2023-01-05T22:38:17.763Z,,,,1.0,
21850,134068.0,1.0,2023-01-04T22:35:02.170Z,2023-01-04T19:26:38.988Z,2023-01-04T22:35:02.171Z,,,,1.0,
21846,,,2023-01-04T18:51:35.783Z,2023-01-04T18:46:11.560Z,2023-01-04T18:51:35.784Z,,28965.0,,,
21822,134466.0,1.0,2023-01-04T17:08:46.841Z,2023-01-04T13:47:54.713Z,2023-01-04T17:08:46.842Z,,,,1.0,
21840,134466.0,2.0,2023-01-04T19:06:23.063Z,2023-01-04T17:24:36.444Z,2023-01-04T19:06:23.063Z,,,,2.0,
21837,118683.0,1.0,2023-01-04T17:45:34.345Z,2023-01-04T17:07:56.468Z,2023-06-27T14:29:16.878Z,,,,2.0,2023-06-27T14:29:16.878Z
21827,134386.0,1.0,2023-01-05T18:32:53.795Z,2023-01-04T15:04:53.134Z,2023-01-05T18:32:53.795Z,,,,1.0,
21855,134417.0,1.0,2023-01-05T17:44:11.417Z,2023-01-04T20:06:23.419Z,2023-01-05T17:44:11.417Z,,,,1.0,
21823,,,2023-01-05T15:25:08.327Z,2023-01-04T13:51:27.733Z,2024-01-22T17:18:12.532Z,,28948.0,,,2024-01-22T17:18:12.531Z
21843,134501.0,1.0,2023-01-05T17:24:02.587Z,2023-01-04T18:07:33.721Z,2023-01-05T17:24:02.587Z,,,,1.0,
21872,122336.0,3.0,2023-01-05T16:53:15.908Z,2023-01-04T22:39:07.625Z,2023-01-05T16:53:15.909Z,,,,3.0,
21873,,,2023-01-05T18:09:56.903Z,2023-01-04T22:58:24.492Z,2023-01-05T18:09:56.903Z,58077.0,,,,
21878,134240.0,1.0,2023-01-04T23:48:59.722Z,2023-01-04T23:44:54.477Z,2023-01-04T23:48:59.722Z,,,,1.0,
21860,133944.0,5.0,2023-01-04T20:48:42.942Z,2023-01-04T20:40:48.457Z,2023-01-04T20:48:42.942Z,,,,5.0,
21854,134453.0,1.0,2023-01-04T19:56:27.816Z,2023-01-04T19:53:35.700Z,2023-01-04T19:56:27.816Z,,,,1.0,
21847,134469.0,1.0,2023-01-04T20:14:04.034Z,2023-01-04T19:13:30.786Z,2023-01-04T20:14:04.035Z,,,,1.0,
21857,134504.0,3.0,2023-01-04T21:48:40.099Z,2023-01-04T20:08:48.503Z,2023-01-04T21:48:40.099Z,,,,3.0,
21824,,,2023-01-05T15:25:04.905Z,2023-01-04T13:53:25.038Z,2024-01-22T17:18:12.535Z,,28948.0,,,2024-01-22T17:18:12.535Z
21826,134466.0,1.0,2023-01-04T17:08:44.730Z,2023-01-04T14:44:19.577Z,2023-01-04T17:08:44.730Z,,,,1.0,
